cnt, cg_residual
1263,4.2481e-07
1264,4.25003e-07
1265,4.19596e-07
1266,4.14252e-07
1267,4.07024e-07
1268,3.96387e-07
1269,3.90869e-07
1270,3.85156e-07
1271,3.85518e-07
1272,3.84056e-07
1273,3.76642e-07
1274,3.67642e-07
1275,3.73379e-07
1276,3.45432e-07
1277,3.62134e-07
1278,3.52033e-07
1279,3.36827e-07
1280,3.3918e-07
1281,3.3038e-07
1282,3.22587e-07
1283,3.14055e-07
1284,3.11183e-07
1285,3.11691e-07
1286,2.70637e-07
1287,3.10114e-07
1288,3.12361e-07
1289,3.1585e-07
1290,2.97412e-07
1291,2.86913e-07
1292,2.53631e-07
1293,2.75718e-07
1294,2.66346e-07
1295,2.65654e-07
1296,2.75643e-07
1297,2.73526e-07
1298,2.6945e-07
1299,2.66138e-07
1300,2.642e-07
1301,2.58165e-07
1302,2.05549e-07
1303,2.53386e-07
1304,2.50011e-07
1305,2.4819e-07
1306,2.53375e-07
1307,2.4564e-07
1308,2.30579e-07
1309,2.30941e-07
1310,2.16292e-07
1311,2.36388e-07
1312,2.32068e-07
1313,2.29077e-07
1314,2.25809e-07
1315,2.13131e-07
1316,1.8448e-07
1317,2.05181e-07
1318,1.74255e-07
1319,2.05765e-07
1320,2.00714e-07
1321,1.95538e-07
1322,1.92631e-07
1323,1.91871e-07
1324,1.70804e-07
1325,1.86912e-07
1326,1.75111e-07
1327,1.8648e-07
1328,1.86624e-07
1329,1.82599e-07
1330,1.7922e-07
1331,1.75562e-07
1332,1.63108e-07
1333,1.66497e-07
1334,1.6526e-07
1335,1.66482e-07
1336,1.60744e-07
1337,1.54835e-07
1338,1.50795e-07
1339,1.49869e-07
1340,1.47051e-07
1341,1.44306e-07
1342,1.41281e-07
1343,1.50227e-07
1344,1.47811e-07
1345,1.46464e-07
1346,1.48928e-07
1347,1.42323e-07
1348,1.37246e-07
1349,1.27061e-07
1350,1.33931e-07
1351,1.3285e-07
1352,1.31613e-07
1353,1.34379e-07
1354,1.31617e-07
1355,1.26451e-07
1356,1.23234e-07
1357,1.05054e-07
1358,1.053e-07
1359,1.21365e-07
1360,1.23526e-07
1361,1.22083e-07
1362,1.1769e-07
1363,1.14819e-07
1364,1.09557e-07
1365,8.76483e-08
1366,1.05998e-07
1367,1.04586e-07
1368,1.03307e-07
1369,9.69195e-08
1370,9.15641e-08
1371,9.9161e-08
1372,9.99367e-08
1373,9.58275e-08
1374,8.87007e-08
1375,9.55895e-08
1376,9.10362e-08
1377,9.15209e-08
1378,9.19944e-08
1379,8.96187e-08
1380,8.92741e-08
1381,7.04465e-08
1382,8.87089e-08
1383,8.66166e-08
1384,8.54034e-08
1385,8.47501e-08
1386,8.26483e-08
1387,8.07166e-08
1388,7.45014e-08
1389,7.84712e-08
1390,7.02224e-08
1391,7.44973e-08
1392,7.20417e-08
1393,7.15996e-08
1394,7.15301e-08
1395,7.12076e-08
1396,6.57216e-08
1397,7.10045e-08
1398,7.16607e-08
1399,7.05716e-08
1400,6.87933e-08
1401,6.6814e-08
1402,6.55912e-08
1403,6.62955e-08
1404,5.35214e-08
1405,6.42859e-08
1406,6.1306e-08
1407,5.79732e-08
1408,6.09048e-08
1409,6.15404e-08
1410,6.24829e-08
1411,5.8542e-08
1412,4.51464e-08
1413,5.68876e-08
1414,5.50148e-08
